City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
279,Fairbanks,US,64.8378,-147.7164,37.36,60,75,10.36,broken clouds
280,Portland,US,45.5234,-122.6762,73.38,49,20,8.05,few clouds
281,Southern Pines,US,35.174,-79.3923,83.1,56,20,6.91,few clouds
282,Kano,NG,12.0001,8.5167,79.93,53,79,7.34,broken clouds
283,Bani Walid,LY,31.7566,13.9942,78.1,38,0,0.63,clear sky
284,Marawi,PH,7.9986,124.2928,71.87,88,40,1.68,scattered clouds
285,Nelson Bay,AU,-32.7167,152.15,57.25,58,37,16.93,scattered clouds
286,Oda,JP,35.1833,132.5,74.17,78,5,10.8,clear sky
287,Springdale,US,36.1867,-94.1288,91.22,45,1,9.22,clear sky
288,Wiesloch,DE,49.2978,8.7014,56.43,64,100,4.5,overcast clouds
289,Staunton,US,38.1496,-79.0717,70.72,76,40,6.91,scattered clouds
290,Lianran,CN,24.9227,102.485,59.54,95,8,1.99,clear sky
291,Kimbe,PG,-5.5502,150.1429,85.05,66,78,2.55,broken clouds
292,Milledgeville,US,33.0801,-83.2321,78.91,96,100,8.61,overcast clouds
293,Saldanha,ZA,-33.0117,17.9442,44.65,66,0,17.92,clear sky
294,Lerici,IT,44.0759,9.9112,64.11,82,55,3.56,broken clouds
295,Trairi,BR,-3.2778,-39.2689,78.6,79,12,11.36,few clouds
296,Victoria,HK,22.2855,114.1577,85.98,81,34,2.91,scattered clouds
297,Guilin,CN,25.2819,110.2864,71.71,89,13,1.68,few clouds
298,Aasiaat,GL,68.7098,-52.8699,27.41,92,100,8.57,light snow
299,Taltal,CL,-25.4,-70.4833,59.02,80,58,5.48,broken clouds
300,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,55.99,47,75,13.42,broken clouds
301,Plaster Rock,CA,46.9065,-67.39,63.12,76,1,4.36,clear sky
302,Nangong,CN,37.3581,115.3744,62.98,92,4,4.81,clear sky
303,Beloha,MG,-25.1667,45.05,63.34,73,0,8.39,clear sky
304,Sampit,ID,-2.5333,112.95,73.89,97,100,1.99,overcast clouds
305,Novobirilyussy,RU,56.9514,90.6661,37.62,86,100,7.85,overcast clouds
306,Mattru,SL,7.6244,-11.8332,73.99,95,99,1.88,overcast clouds
307,Yurginskoye,RU,56.8189,67.3921,34.99,95,99,8.46,overcast clouds
308,La Ronge,CA,55.1001,-105.2842,57.42,50,75,9.22,broken clouds
309,Port Blair,IN,11.6667,92.75,79.3,87,100,7.92,overcast clouds
310,Salisbury,GB,51.0693,-1.7957,57.49,72,42,4.61,scattered clouds
311,Hirara,JP,24.8,125.2833,84.47,89,40,3.44,scattered clouds
312,Mangrol,IN,21.1167,70.1167,80.29,88,82,13.42,broken clouds
313,Stephenville,US,32.2207,-98.2023,100.49,24,1,4.61,clear sky
314,Muros,ES,42.7762,-9.0603,59.5,78,1,14.52,clear sky
315,Saint-Francois,FR,46.4154,3.9054,54.84,100,57,3.44,mist
316,Mount Gambier,AU,-37.8333,140.7667,50.45,61,90,11.05,overcast clouds
317,Dingle,PH,10.9995,122.6711,76.73,92,84,1.39,broken clouds
318,Torbay,CA,47.6666,-52.7314,45.37,70,90,14.97,overcast clouds
319,Opuwo,NA,-18.0607,13.84,71.33,20,2,4.65,clear sky
320,Miri,MY,4.4148,114.0089,73.54,100,40,4.61,light rain
321,Atambua,ID,-9.1061,124.8925,75.2,63,79,4.45,broken clouds
322,Amahai,ID,-3.3333,128.9167,78.4,85,99,3.44,overcast clouds
323,Tinqueux,FR,49.25,3.9833,57.22,82,0,10.36,clear sky
324,Pimentel,PE,-6.8367,-79.9342,64.69,72,0,19.57,clear sky
325,Hofn,IS,64.2539,-15.2082,50.79,67,82,10.54,broken clouds
326,Padang,ID,-0.9492,100.3543,73.45,88,72,3.71,broken clouds
327,Chajul,GT,15.4853,-91.0342,75.24,88,97,4.61,overcast clouds
328,Kultuk,RU,51.7208,103.6956,42.17,92,100,5.68,overcast clouds
329,Acari,PE,-15.4311,-74.6158,63.97,78,78,5.08,broken clouds
330,Strezhevoy,RU,60.7333,77.5889,33.78,79,100,11.45,overcast clouds
331,Esperance,AU,-33.8667,121.9,47.77,81,10,13.22,clear sky
332,Narsaq,GL,60.9167,-46.05,37.62,63,1,4.38,clear sky
333,Lakatoro,VU,-16.0999,167.4164,78.17,67,45,9.82,scattered clouds
334,Cabra,ES,37.4725,-4.4421,65.5,37,0,3.02,clear sky
335,Coihaique,CL,-45.5752,-72.0662,43.68,84,2,5.46,clear sky
336,Karatuzskoye,RU,53.6072,92.8667,39.16,80,98,5.1,overcast clouds
337,Kamenka,RU,51.3223,42.7678,48.42,82,99,11.48,overcast clouds
338,Camacha,PT,33.0833,-16.3333,69.22,64,40,11.5,scattered clouds
339,Aljezur,PT,37.3191,-8.8033,66.63,73,0,7.72,clear sky
340,Dutse,NG,11.7594,9.3392,79.57,58,49,7.63,scattered clouds
341,Emerald,AU,-23.5333,148.1667,78.94,14,19,17.27,few clouds
342,Folldal,NO,62.1325,9.9968,38.93,92,100,8.7,overcast clouds
343,Daokou,CN,35.5639,114.5058,64.67,78,1,7.9,light rain
